trainerID,place,pokename,pokelevel,type1,type2,hp,maxhp,attack,defense,spatk,spdef,speed
0,0,Smeargle,60,Normal,None,157,157,50,68,50,80,116
1,0,Smeargle,30,Normal,None,83,83,27,36,27,42,60
2,0,Wailord,57,Water,None,281,281,128,76,128,76,93
2,1,Vileplume,57,Grass,Poison,173,173,116,122,150,128,82
3,0,Armaldo,47,Rock,Bug,144,144,139,115,87,97,64
3,1,Cradily,47,Rock,Grass,154,154,98,113,98,122,62
4,0,Armaldo,56,Rock,Bug,170,170,165,137,103,114,75
4,1,Cradily,56,Rock,Grass,182,182,115,133,115,145,73
5,0,Carvanha,21,Water,Dark,57,57,50,20,39,20,39
5,1,Numel,21,Fire,Ground,63,63,37,29,39,31,27
6,0,Sandslash,46,Ground,None,141,141,113,122,62,72,81
6,1,Ninetales,46,Fire,None,139,139,91,90,96,113,113
7,0,Weepinbell,24,Grass,Poison,73,73,56,37,54,35,40
7,1,Gloom,24,Grass,Poison,71,71,44,47,54,49,32
7,2,Ivysaur,24,Grass,Poison,71,71,43,43,52,52,42
8,0,Nidorino,39,Poison,None,110,110,75,63,61,61,69
8,1,Nidoking,39,Poison,Ground,126,126,98,79,85,77,85
9,0,Sandslash,39,Ground,None,121,121,97,104,54,61,69
9,1,Dugtrio,39,Ground,None,90,90,81,58,58,73,112
10,0,Rhyhorn,43,Ground,Rock,137,137,93,102,46,46,41
11,0,Persian,44,Normal,None,127,127,82,73,78,78,122
11,1,Ninetales,44,Fire,None,134,134,87,86,92,108,108
12,0,Ivysaur,42,Grass,Poison,117,117,72,73,87,87,70
12,1,Wartortle,42,Water,None,116,116,73,87,74,87,68
12,2,Charmeleon,42,Fire,None,115,115,73,68,87,74,87
12,3,Charizard,42,Fire,Flying,132,132,90,85,111,91,104
13,0,Exeggutor,43,Grass,Psychic,150,150,102,93,127,76,67
13,1,Cloyster,43,Water,Ice,111,111,102,175,93,59,80
13,2,Arcanine,43,Fire,None,145,145,115,89,106,89,102
14,0,Parasect,43,Bug,Grass,120,120,102,89,72,89,46
14,1,Dewgong,43,Water,Ice,145,145,80,89,80,102,80
14,2,Chansey,43,Normal,None,283,283,24,24,50,110,63
15,0,Kingler,43,Water,None,115,115,132,119,63,63,84
15,1,Tentacruel,43,Water,Poison,137,137,80,76,89,123,106
15,2,Blastoise,43,Water,None,136,136,91,106,93,110,87
16,0,Bellsprout,43,Grass,Poison,111,111,84,50,80,46,54
16,1,Weepinbell,43,Grass,Poison,124,124,97,63,93,59,67
16,2,Victreebel,43,Grass,Poison,137,137,110,76,106,80,80
17,0,Ivysaur,24,Grass,Poison,71,71,43,43,52,52,42
17,1,Charmeleon,24,Fire,None,70,70,44,41,52,44,52
17,2,Wartortle,24,Water,None,70,70,43,52,44,52,41
18,0,Charmeleon,27,Fire,None,78,78,49,46,57,49,57
19,0,Rapidash,36,Fire,None,105,105,89,68,75,75,93
20,0,Rapidash,39,Fire,None,113,113,97,73,81,81,100
21,0,Rapidash,43,Fire,None,124,124,106,80,89,89,110
22,0,Magneton,33,Electric,Steel,87,87,56,79,96,63,63
22,1,Quagsire,31,Water,Ground,111,111,68,68,56,56,37
22,2,Exeggcute,31,Grass,Psychic,89,89,40,65,53,44,40
23,0,Sandslash,35,Ground,None,110,110,87,94,49,56,63
24,0,Horsea,33,Water,None,74,74,43,63,63,33,56
24,1,Horsea,33,Water,None,74,74,43,63,63,33,56
24,2,Horsea,33,Water,None,74,74,43,63,63,33,56
25,0,Electrode,35,Electric,None,99,99,52,66,73,73,115
25,1,Starmie,35,Water,Psychic,99,99,70,77,87,77,98
25,2,Ninetales,35,Fire,None,108,108,70,70,74,87,87
26,0,Horsea,34,Water,None,76,76,44,64,64,34,58
26,1,Seadra,36,Water,None,98,98,64,86,86,50,79
27,0,Butterfree,25,Bug,Flying,74,74,36,39,59,54,49
27,1,Bellossom,25,Grass,None,81,81,54,61,59,64,39
28,0,Dragonair,37,Dragon,None,105,105,80,66,70,70,70
29,0,Poliwhirl,28,Water,None,84,84,51,51,43,43,65
30,0,Seadra,37,Water,None,101,101,66,88,88,51,81
31,0,Victreebel,32,Grass,Poison,104,104,83,58,80,61,61
31,1,Kingler,32,Water,None,88,88,99,90,48,48,64
31,2,Flareon,32,Fire,None,95,95,99,54,77,86,58
32,0,Victreebel,35,Grass,Poison,113,113,91,63,87,66,66
32,1,Kingler,35,Water,None,96,96,108,98,52,52,70
32,2,Flareon,35,Fire,None,103,103,108,59,84,94,63
33,0,Victreebel,39,Grass,Poison,125,125,100,69,97,73,73
33,1,Kingler,39,Water,None,105,105,120,108,58,58,77
33,2,Flareon,39,Fire,None,113,113,120,65,93,104,69
34,0,Eevee,26,Normal,None,73,73,42,40,37,48,42
34,1,Vaporeon,22,Water,None,97,97,41,39,61,54,41
34,2,Jolteon,22,Electric,None,68,68,41,39,61,54,70
34,3,Flareon,22,Fire,None,68,68,70,39,54,61,41
35,0,Goldeen,22,Water,None,59,59,42,39,28,34,40
35,1,Seaking,24,Water,None,81,81,57,44,44,52,46
36,0,Parasect,33,Bug,Grass,94,94,79,69,56,69,36
36,1,Golduck,35,Water,None,113,113,75,72,84,73,77
37,0,Staryu,24,Water,None,57,57,35,40,47,40,54
37,1,Starmie,26,Water,Psychic,76,76,53,58,66,58,74
38,0,Pikachu,36,Electric,None,84,84,57,46,53,53,82
38,1,Blastoise,32,Water,None,104,104,69,80,70,83,66
39,0,Shellder,26,Water,None,60,60,48,66,37,27,35
39,1,Cloyster,28,Water,Ice,76,76,68,115,62,40,54
40,0,Marill,27,Water,Fairy,84,84,25,41,25,41,36
40,1,Wartortle,24,Water,None,70,70,43,52,44,52,41
40,2,Wartortle,24,Water,None,70,70,43,52,44,52,41
41,0,Rhyhorn,38,Ground,Rock,122,122,83,90,41,41,37
41,1,Charmeleon,35,Fire,None,98,98,62,58,73,63,73
41,2,Wartortle,35,Water,None,98,98,61,73,63,73,58
42,0,Skiploom,25,Grass,Flying,71,71,36,39,36,46,54
42,1,Ninetales,25,Fire,None,80,80,52,51,54,64,64
43,0,Dratini,34,Dragon,None,84,84,60,47,51,51,51
43,1,Dragonair,36,Dragon,None,102,102,78,64,68,68,68
44,0,Bulbasaur,32,Grass,Poison,82,82,47,47,58,58,45
44,1,Ivysaur,32,Grass,Poison,91,91,56,56,67,67,54
44,2,Venusaur,32,Grass,Poison,104,104,69,69,80,80,67
45,0,Dragonair,37,Dragon,None,105,105,80,66,70,70,70
46,0,Charmander,26,Fire,None,65,65,41,36,45,40,48
46,1,Bulbasaur,26,Grass,Poison,68,68,39,39,48,48,37
46,2,Squirtle,26,Water,None,68,68,39,48,40,47,36
47,0,Dratini,34,Dragon,None,84,84,60,47,51,51,51
47,1,Dratini,34,Dragon,None,84,84,60,47,51,51,51
47,2,Dratini,34,Dragon,None,84,84,60,47,51,51,51
48,0,Ivysaur,38,Grass,Poison,107,107,65,66,79,79,64
48,1,Starmie,38,Water,Psychic,107,107,75,83,94,83,106
49,0,Starmie,31,Water,Psychic,89,89,62,68,78,68,87
49,1,Starmie,31,Water,Psychic,89,89,62,68,78,68,87
49,2,Nidoqueen,33,Poison,Ground,114,114,77,74,66,72,67
50,0,Starmie,34,Water,Psychic,97,97,68,75,85,75,95
50,1,Starmie,34,Water,Psychic,97,97,68,75,85,75,95
50,2,Nidoqueen,36,Poison,Ground,123,123,84,80,71,79,72
51,0,Starmie,37,Water,Psychic,104,104,73,81,92,81,103
